,n_eval,hv_value
841,84200,0.320016
842,84300,0.320016
843,84400,0.3200161
844,84500,0.3200161
845,84600,0.3200161
846,84700,0.3200161
847,84800,0.3200163
848,84900,0.3200163
849,85000,0.3200163
850,85100,0.320017
851,85200,0.3200175
852,85300,0.3200178
853,85400,0.320019
854,85500,0.32002
855,85600,0.32002
856,85700,0.32002
857,85800,0.3200201
858,85900,0.3200201
859,86000,0.3200201
860,86100,0.3200215
861,86200,0.3200215
862,86300,0.3200215
863,86400,0.3200215
864,86500,0.3200216
865,86600,0.3200216
866,86700,0.3200216
867,86800,0.3200216
868,86900,0.3200216
869,87000,0.3200216
870,87100,0.3200216
871,87200,0.3200216
872,87300,0.320024
873,87400,0.320024
874,87500,0.320024
875,87600,0.320024
876,87700,0.320024
877,87800,0.3200241
878,87900,0.3200242
879,88000,0.3200242
880,88100,0.3200243
881,88200,0.3200243
882,88300,0.3200243
883,88400,0.3200245
884,88500,0.3200245
885,88600,0.3200245
886,88700,0.3200245
887,88800,0.3200245
888,88900,0.3200245
889,89000,0.3200245
890,89100,0.3200254
891,89200,0.3200254
892,89300,0.3200254
893,89400,0.3200254
894,89500,0.3200255
895,89600,0.3200255
896,89700,0.3200255
897,89800,0.3200255
898,89900,0.320026
899,90000,0.320026
900,90100,0.320026
901,90200,0.3200261
902,90300,0.3200261
903,90400,0.3200263
904,90500,0.3200263
905,90600,0.3200263
906,90700,0.3200263
907,90800,0.3200263
908,90900,0.3200263
909,91000,0.3200263
910,91100,0.3200263
911,91200,0.3200263
912,91300,0.3200263
913,91400,0.3200264
914,91500,0.3200265
915,91600,0.3200265
916,91700,0.3200297
917,91800,0.3200299
918,91900,0.3200299
919,92000,0.3200299
920,92100,0.3200299
921,92200,0.3200299
922,92300,0.32003
923,92400,0.32003
924,92500,0.32003
925,92600,0.32003
926,92700,0.32003
927,92800,0.32003
928,92900,0.32003
929,93000,0.32003
930,93100,0.32003
931,93200,0.32003
932,93300,0.32003
933,93400,0.3200303
934,93500,0.3200303
935,93600,0.3200303
936,93700,0.3200304
937,93800,0.3200306
938,93900,0.3200307
939,94000,0.3200315
940,94100,0.3200315
941,94200,0.3200315
942,94300,0.3200315
943,94400,0.3200315
944,94500,0.3200316
945,94600,0.3200316
946,94700,0.3200316
947,94800,0.3200318
948,94900,0.3200318
949,95000,0.3200318
950,95100,0.3200321
951,95200,0.3200322
952,95300,0.3200322
953,95400,0.3200322
954,95500,0.3200322
955,95600,0.3200322
956,95700,0.3200325
957,95800,0.3200325
958,95900,0.3200325
959,96000,0.3200325
960,96100,0.3200325
961,96200,0.3200325
962,96300,0.3200325
963,96400,0.3200325
964,96500,0.3200325
965,96600,0.3200325
966,96700,0.3200325
967,96800,0.3200325
968,96900,0.3200325
969,97000,0.3200325
970,97100,0.3200326
971,97200,0.3200326
972,97300,0.3200326
973,97400,0.3200326
974,97500,0.3200337
975,97600,0.3200337
976,97700,0.3200337
977,97800,0.3200337
978,97900,0.3200337
979,98000,0.3200337
980,98100,0.3200337
981,98200,0.3200337
982,98300,0.3200338
983,98400,0.3200338
984,98500,0.3200338
985,98600,0.3200338
986,98700,0.3200338
987,98800,0.3200338
988,98900,0.3200338
989,99000,0.3200339
990,99100,0.3200339
991,99200,0.320034
992,99300,0.320034
993,99400,0.320034
994,99500,0.320034
995,99600,0.320034
996,99700,0.320034
997,99800,0.320034
998,99900,0.3200341
999,100000,0.3200341
